source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
aed_investments_2560854_0_AEK_FINANCIALS_edited.xlsm,Aek investments,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & beverages),"The presence of physical products such as Posho, Wheat Flour, Soda, and Cooking Oil indicates a retail/trade business. The Cost of Sales categories confirm that the business sells goods, aligning it with the FMCG sector."
african_ark_college_of_management_sciences_25601104_0_African_Ark_financials_22.xlsm,AFRICAN ARK COLLEGE OF MANAGEMENT SCIENCES,Education,Higher education,,Management sciences college,The business is classified under the education sector and higher education sub-sector due to its focus on management sciences. The absence of physical products and the presence of service costs in the operating expenses indicate that it operates as a service business rather than a retail/trade business.
ajokis_edeke_nursery_and_primary_school_2560821_0_Ajokis_NPS_Financials_1.xlsm,AJOKIS EDEKE NURSERY AND PRIMARY SCHOOL,Education,Early childhood education,,Private Nursery and Primary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its focus on nursery and primary education. The presence of school fees collections and holiday lessons as revenue streams indicates a service-oriented business rather than retail, aligning with the classification as a Private Nursery and Primary School."
akado_daniel_ambrose_25601116_0_25601116.xlsx,AKADO DANIEL AMBROSE,Retail / Trade (FMCG),General merchandise,Retail / Trade (produce),Mixed retail (food & beverages),"The presence of various products including beverages and food items, along with the Cost of Sales categories indicating 'COS depot' and 'COS produce', strongly suggests a retail/trade classification focused on fast-moving consumer goods."
akullu_betty_retail_shop_25601093_0_Agwata_Financials.xlsm,AKULLU BETTY RETAIL SHOP,Retail / Trade (FMCG),General merchandise,,General merchandise with food and household products focus,"The presence of various physical products such as soap, sugar, cooking oil, and other household items indicates a retail/trade business. The Cost of Sales categories confirm that these items are sold as goods, reinforcing the classification as a retail business in the FMCG sector."
albert_odonyi_and_sons_food_store_25601123_0_ALBERT_ODONYI_Financials.xlsm,ALBERT ODONYI,Retail / Trade (produce),Cereals/Grains,,Retailer of staple food products,"The business primarily sells physical products such as maize flour, rice, groundnuts, and beans, which fall under the Cost of goods sold category. This strongly indicates a retail/trade classification, specifically within the produce sector."
aliro_bonny_lira_2560936_0_FINANCIALS-ALIRO.xlsm,ALIRA BONNY,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The presence of inventory items such as maize, sunflower, soya bean, millet, and green gram indicates a focus on physical products, aligning with the retail/trade classification. The Cost of Sales categories confirm that the business operates in the retail sector selling agricultural produce."
all_seasons_investment_25601070_0_ALL_SEASONS_FINANCIALS.xlsm,ALL SEASON,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The business sells physical products such as maize, soya bean, millet, green gram, and sim sim, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically in the produce sector focusing on cereals and grains."
amilya_poultry_and_animal_feeds__lira_2560790_0_AMILYA_FEEDS_FINANCIALS.xlsm,AMILYA FEEDS,Retail / Trade (agri inputs),Seeds,,Retail of animal feeds and agricultural inputs,"The business primarily sells physical products related to animal feeds, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory items such as various types of feeds further supports this classification."
anai_elite_secondary_school_limited_2560714_0_Financials_Elite_1.xlsm,Anai Elite Secondary School Ltd,Education,Early childhood education,Real estate,Combined educational institution with retail merchandise,"The presence of inventory/products and Cost of Sales categories indicating retail suggests a strong retail component alongside the educational services, leading to the classification as a combined educational institution with retail merchandise."
andrew_ogweno_2560838_0_Client_Analysis_Model_v24-_Andrew_Namutumba_Adj.xlsm,OGWENO ANDREW,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business primarily sells physical products such as sugar, salt, and soap, which fall under the Cost of goods sold category, indicating a retail/trade classification. The diverse inventory suggests a general merchandise focus."
angelika_secondary_school_2560840_0_Financials_-Angelika_SS.xlsm,ANGELIKA SECONDARY SCHOOL,Education,Secondary education,,Secondary School,The business is classified under the Education sector and specifically as a Secondary education institution due to its focus on tuition and educational services. The absence of physical products for sale and the nature of the revenue streams indicate a service-oriented business rather than retail.
angeve_trade_links_2560970_0_N.Eve_Financials.xlsm,Angeve Trade links,Retail / Trade (FMCG),General merchandise,,Retailer of beverages and snacks,"The presence of inventory/products such as soda, water, and coffee malt indicates a retail/trade business focused on fast-moving consumer goods (FMCG). The Cost of Sales category 'Cost of goods sold' further confirms this classification as it aligns with a retail business model selling physical products."
angura_sam_25601052_0_ANGURA_SAM_Financials_Updated_and_New.xlsm,ANGURA SAM,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household products),"The business operates in the retail sector with a focus on selling physical products, as indicated by the presence of inventory and cost of goods sold categories related to a mini mart and wholesale shop. This strongly supports the classification as a retail/trade business in the FMCG sector."
apil_apil_enterprise_lira_2560999_0_APIL_APIL_FINANCIAL.xlsm,APIL APIL ENTERPRISE-LIRA,Retail / Trade (textiles),Fabrics,,Mixed retail (textiles and household items),"The business primarily sells physical products such as blankets, kitenge, and curtains, which fall under the retail/trade classification. The presence of inventory and cost of goods sold categories strongly indicates a retail business model."
ariong_tobias_produce__lira_2560928_0_Ariong_Tobias-Financials.xlsm,Ariong Tobias,Retail / Trade (FMCG),General merchandise,Hotel/Restaurant,Mixed retail (food & beverages),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a strong retail/trade classification. The business operates in both hotel/restaurant and trade/retail industries, with a focus on selling food and beverages, thus justifying the mixed retail classification."
ashiraf_asmani_2560883_0_Client_Analysis_Model_Asumani.xlsm,ASHIRAF ASMANI,Retail / Trade (FMCG),General merchandise,Retail / Trade (stationary),Mixed retail (food & school supplies),"The presence of a wide range of physical products, including food items and stationery, indicates a retail/trade business. The Cost of Sales categories confirm this classification as they relate to goods sold, further supporting the classification into FMCG and stationary sub-sectors."
ashley_pharmacy_2560884_0_Ashley_Financials.xlsm,ASHLEY PHARMACY,Healthcare,Healthcare (pharmacy),,Retail pharmacy,"The presence of inventory/products and the Cost of Sales category indicating 'COS Pharmacy' strongly suggest that ASHLEY PHARMACY operates as a retail business selling physical products, specifically pharmaceuticals."
asiimwe_sylivia_2560964_0_Financials_for_Asiimwe_Sylivia.xlsm,Asiimwe Sylvia,Retail / Trade (produce),Cereals/Grains,,Retailer of rice products,"The business primarily sells rice, which falls under the produce category of cereals/grains. The presence of inventory and cost of sales categories related to purchases indicates a retail/trade classification."
assured_enterprises_ltd_2560698_0_Financials_Assured.xlsm,Assured Enterprises Ltd Pharmacy,Healthcare,Healthcare (pharmacy),,Retail pharmacy,"The presence of inventory/products and the Cost of Sales categories indicating retail sales strongly suggest that this business operates as a retail pharmacy, focusing on selling pharmaceutical products."
asumani_general_enterprises_2560651_0_Financials_Asumani_General_Enterprise_final.xlsm,ASUMANI GENERAL ENTERPRISE,Retail / Trade (FMCG),General merchandise,,General merchandise with food products focus,"The business primarily sells physical products such as sugar, cooking oil, rice, and other food items, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of a diverse range of fast-moving consumer goods (FMCG) further supports this classification."
auma_rose_odero_2560741_0_Client_Analysis_Model_v24-ROSE_AWUMA_2.xlsm,ROSE AUMA ODERO,Retail / Trade (other),Variety shops,Real Estate,Mixed retail (luggage and footwear),"The presence of inventory/products with 'Cost of goods sold' strongly indicates a retail/trade classification. The business sells a variety of physical products, including men's shoes and various types of bags, which aligns with the variety shops sub-sector."
az_filling_station_2560757_0_20240722_Luwano_Financials.xlsm,AZ FILLING STATION,Retail / Trade (automobile),Service & repair,,Fuel retail and transportation services,"The business primarily sells fuel (petrol and diesel) and also generates income from rentals and taxis, indicating a retail/trade classification. The presence of 'Cost of goods sold' categories related to fuel sales strongly supports the classification as a retail business in the automobile sector."
b_s_enterprises_2560846_0_B.S_financials.xlsm,BS ENTERPRISES,Retail / Trade (textiles),Clothing,,Mixed retail (textiles and clothing),"The presence of inventory items such as jerseys, bedsheets, pillows, and various clothing types indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the textiles sector."
b_smart_zone_2560771_0_b.smart_Financilas.xlsm,"B,Smart Zone",Retail / Trade (electronics),Mobile phones,,Retail electronics specializing in mobile phones and accessories,"The business primarily sells physical products, specifically mobile phones and related accessories, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports the classification as a retail business focused on electronics."
badi_papi_hardware_25601063_0_Badi_Financials.xlsm,BADI PAPI HARDWARE,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in construction materials,"The presence of inventory items such as cement, iron sheets, and nails, along with the Cost of Sales category indicating 'Cost of goods sold', strongly supports the classification as a retail/trade business focused on hardware and construction materials."
balikowa_david_ouma_mugeni_25601127_0_Balikowa_Financials.xlsm,BALIKOWA DAVID OUMA,Agriculture,Livestock farming,,Poultry farming,"The presence of inventory/products categorized under 'Cost of goods sold' indicates that this business is involved in selling physical products, specifically related to livestock, which aligns with the livestock farming sub-sector."
balikowa_david_ouma_mugeni_25601127_1_Revised-Financials.xlsm,BALIKOWA DAVID OUMA,Agriculture,Livestock farming,,Poultry farming and sales,"The business operates in the agriculture sector with a focus on livestock farming, specifically indicated by the revenue streams and cost of sales categories related to purchases and sales of livestock products. The presence of inventory and cost of goods sold categories strongly suggests a retail/trade classification within the livestock farming sub-sector."
bamakwa_investments_2560685_0_Client_Analysis_Model_v19_-_Bamakwa_Investment_1.xlsm,Isaac Fred Wakama Makwa,Real estate,Property development,Agri primary production,Mixed real estate and agricultural products,"The presence of inventory/products with 'Cost of goods sold' indicates a retail/trade classification, specifically in the context of real estate and agricultural products. The business operates in both real estate and agriculture, which justifies the mixed classification."
bamtel_classic_chalk_2560920_0_Client_Analysis_Model_v24.3_-_Bamtel_Chalk_Final.xlsm,TELOPECHO DOROTHY BATULI,Retail / Trade (FMCG),General merchandise,,Chalk retail,"The business primarily engages in the sale of chalk, which falls under the category of physical products sold in a retail setting. The presence of 'Cost of goods sold' indicates a retail/trade classification, supporting the choice of FMCG as the primary sector."
begumisa_muhamad_2560719_0_Client_Analysis_Model_v24-Begumisa_3.xlsm,Begumisa Muhamad,Retail / Trade (textiles),Clothing,,Cosmetics and Clothing Retail Shop,"The business primarily sells physical products such as clothing and cosmetics, which aligns with the retail/trade classification. The presence of inventory/products with 'Cost of goods sold' confirms it as a retail business."
big_ben_one_stop_shop_electronics_centre_2560814_0_BIG_BEN_ONE_STOP_SHOP-Financials.xlsm,BIG BEN ONE STOP SHOP ELECTRONICS CENTRE,Retail / Trade (electronics),Mobile phones,,Electronics retail specializing in mobile accessories and solar products,"The business sells physical products such as Itel batteries, solar panels, and phone chargers, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the electronics sector."
big_chief_unit_entreprises_2560892_0_Financials_-_BIGCHIEF_UNIT_ENTREPRISES_Final.xlsm,BIGCHIEF UNIT ENTREPRISES LIMITED,Retail / Trade (other),Variety shops,,Mixed retail with mobile money services,"The presence of inventory/products with 'Cost of goods sold' indicates a retail/trade classification. The business also engages in mobile money services, which complements its retail activities."
birabwa_rose_babuzanga_2560988_0_BIRABWA_ROSE_BABUZANGA_Financials_new.xlsm,BIRABWA ROSE BABUZANGA,Retail / Trade (other),Variety shops,,Men's and women's footwear retail,"The business primarily sells physical products, specifically various types of shoes, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories confirms it operates as a retail business, specifically in the variety of footwear."
bishop_jimmy_katuramu_2560913_0_Financials_Bishop.xlsm,BISHOP JIMMY KATURAMU,Education,Early childhood education,,Private educational institution,"The business primarily operates in the education sector, with revenue streams indicating a focus on tuition and related fees, which aligns with service costs rather than goods sold. This suggests a service-oriented classification rather than retail."
brianho_electronics_25601008_0_Financials_Brian.xlsm,BRIANHO ELECTRONICS,Retail / Trade (electronics),Mobile phones,,Retail electronics specializing in mobile phones and accessories,"The business primarily sells physical products, specifically mobile phones and related accessories, as indicated by the inventory and the Cost of Sales categories which confirm a retail/trade classification."
bright_parents_junior_school_2560944_0_Bright_Parents_Junior_School_1.xlsm,BRIGHT PARENTS JUNIOR SCHOOL,Education,Early childhood education,,Private Junior School,"The business is classified under the education sector and specifically as an early childhood education provider due to its focus on school fees collections and operating costs related to educational services. The presence of inventory/products categorized as 'Purchases' does not indicate a retail/trade business, reinforcing the classification as a service-oriented educational institution."
brownlee_and_family_agro_inputs___smc_limited_2560748_0_Financials_brown_Lee_1.xlsm,Brownlee and Family Agro inputs - SMC Ltd,Retail / Trade (agri inputs),Seeds,,Agro inputs retail specializing in herbicides and agricultural supplies,The presence of inventory/products related to agro inputs and the classification under 'Cost of goods sold' categories strongly indicate that this business operates as a retail/trade entity focused on agricultural products.
bsk_scrap_dealers_2560997_0_Client_Analysis_Model_v24_-_BSK.xlsm,BSK SCRAP DEALERS,Retail / Trade (other),Variety shops,,Scrap and recycled materials dealer,"The presence of inventory/products and the Cost of Sales categories indicate that BSK SCRAP DEALERS operates as a retail/trade business selling physical products, specifically scrap and recycled materials."
bugisu_high_school_limited_2560755_0_20240726_MWAMBU_Bugisu_High_Financials.xlsm,Bugisu High school Mbale limited,Education,Early childhood education,,Secondary School,The business is classified under the Education sector as it primarily operates in providing educational services. The absence of physical products and the presence of service-related operating costs indicate that it is a service business rather than a retail one.
bulambuli_junior_school_2560721_0_BULAMBULI_JUNIOR_SCHOOL_FINANCIAL_-_final.xlsm,Bulambuli Junior School,Education,Early childhood education,,Primary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its focus on providing educational services. The operating costs indicate a service-oriented business model, as there are no physical products or inventory involved, aligning with the characteristics of a service business."
busoga_light_college_2560847_0_Busoga_Light_College_-_Financials.xlsm,BUSOGA LIGHT COLLEGE,Education,Early childhood education,,Private educational institution,The business is classified under the education sector as it primarily focuses on educational services. The absence of physical products and the presence of service-related operating costs indicate that it operates as a service business rather than a retail/trade business.
busoga_seed_solutions_limited_2560791_0_BUSOGA_SEED_FINANCIALS_2024.xlsm,BUSOGA SEED SOLUTIONS,Agriculture,Agri primary production,,Agricultural equipment and irrigation solutions provider,"The business primarily operates in the agriculture sector, with a focus on selling physical products such as irrigation equipment and water pumps. The presence of inventory and the nature of revenue streams indicate a retail/trade classification rather than a service-based business."
buyi_and_sons_agro_inputs_2560890_0_BUYI_AND_SONS_FINANCIALS_Latest.xlsm,BUYI AND SONS AGRO INPUTS,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The business primarily sells physical products related to agriculture, including various fertilizers and seeds, which aligns with the Cost of Goods Sold category indicating a retail/trade business. The presence of inventory further supports this classification."
byabu_ronnie_duncan_25601066_0_Client_Analysis_Model_v24.3_BYABO_RONNY_FINAL.xlsm,Test,Retail / Trade (other),Variety shops,,General retail with a focus on diverse products,"The business is classified under Retail/Trade due to the absence of specified products and the presence of operating costs that suggest a retail environment. The Cost of Sales categories indicate a retail/trade business, as there are no service costs mentioned, reinforcing the classification as a variety shop."
canaan_junior_school___jinja_2560848_0_CANAAN_JUNIOR_-_Financials.xlsm,CANAAN JUNIOR SCHOOL - JINJA,Education,Early childhood education,,Private primary school,"The business is classified under the education sector and specifically as an early childhood education provider due to its focus on fees collections as the primary revenue stream and the absence of inventory or cost of goods sold, indicating it operates as a service business."
cares_pharmacy_2560676_0_Financials_Cares_Pharmacy-New.xlsm,Cares Pharmacy,Healthcare (pharmacy),Retail pharmacy,,Pharmaceutical retail,"The presence of inventory/products with 'Cost of goods sold' indicates that Cares Pharmacy operates as a retail business selling physical products, specifically pharmaceuticals. This aligns with the classification under the Retail pharmacy sub-sector."
caroline_eyapu_ekobu_2560687_0_Caroline_Financials.xlsm,CAROLINE EYAPU EKOBU,Real estate,Property development,Retail / Trade (other),Real estate rental and property management,"The primary industry is real estate, and the revenue stream is rental income, which aligns with property development. The presence of operating costs related to property management further supports this classification. The secondary industry of trade/retail is acknowledged but does not dominate the business model, hence classified as an additional sub-sector."
ceramic_fort_services_2560863_0_Finanncials_Ceramic.xlsm,CERAMIC FORT SERVICES,Retail / Trade (hardware),Construction materials,,Retail of ceramic tiles and construction supplies,"The business sells physical products such as polished tiles, wall tiles, and construction materials, which aligns with the 'Cost of goods sold' category indicating a retail/trade classification. The primary focus on construction materials further supports the classification under the hardware subsector."
charles_hard_ware___kasese_25601121_0_Financials_for_Charles_Hardware_Kasese.xlsm,CHARLES HARWARE KASESE,Retail / Trade (hardware),Construction materials,,Hardware retail store,"The business is classified under Retail/Trade (hardware) as it operates in the trade sector with a focus on selling physical products, which aligns with the presence of 'Cost of goods sold' categories. The absence of specified inventory does not negate the classification, as the primary industry is clearly identified as Trade/Retail."
charles_s_tavern_sports_bar___kapchorwa_25601087_0_Financials-_CHARLES_TARVEN_BAR_Updated.xlsm,CHARLES' TAVEN BAR,Retail / Trade (FMCG),General merchandise,,Bar and beverage retail,"The business sells physical products, specifically alcoholic beverages, which aligns with the 'Cost of goods sold' category indicating a retail/trade classification. The presence of a diverse inventory of beers and spirits further supports the classification as a bar and beverage retail business."
chebijira_beatrice_kween_25601033_0_CHEBIJIRA_BEATRICE.xlsm,CHEBIJIRA BEATRICE -KWEEN,Retail / Trade (agri inputs),Seeds,,Retail of agricultural seeds and fertilizers,"The business primarily deals with agricultural products such as DAP, NPK, UREA, CAN, and Kabale Irish seeds, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification focused on agricultural inputs."
chelangat_alfred_2560842_0_Chelangat_Financials.xlsm,CHELANGAT ALFRED,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business primarily sells physical products such as sugar, posho, and soap, which fall under the Cost of goods sold category, indicating a retail/trade classification. The presence of a diverse inventory supports the classification as general merchandise."
chemutai_micheal_cherop_2560834_0_Financials_Chemutai_2024.xlsm,Chemutai Micheal Cherop,Retail / Trade (agri inputs),Seeds,,Retail of agricultural seeds and inputs,The presence of inventory items such as various types of onion seeds and agricultural chemicals indicates a focus on agricultural products. The Cost of Sales categories confirm that the business operates as a retail/trade entity selling physical products.
chetoek_benjamin_2560924_0_Client_Analysis_Model_v24.3_Benjamin.xlsm,CHEPTOEK BENJAMIN,Retail / Trade (textiles),Clothing,Retail / Trade (beauty),Mixed retail (clothing & beauty services),"The business primarily sells physical products such as jeans, blazers, and various clothing items, indicating a retail/trade classification. The presence of a saloon as a secondary income stream suggests an additional focus on beauty services, justifying the inclusion of the beauty sub-sector."
city_classic_collections_2560683_0_City_Classic_Financials_.xlsm,City Classic Cillections,Retail / Trade (textiles),Clothing,,Clothing and accessories retail,"The business sells physical products such as shirts, jeans, and shoes, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories confirms that it operates as a retail business focused on clothing and accessories."
clinics_centre_kagadi_25601013_0_Financials_for_Clinic_centre_Kagadi.xlsm,CLINIC CENTRE KAGADI,Healthcare,General medical practice,,General medical clinic with pharmacy services,"The business primarily operates as a healthcare provider offering outpatient and inpatient services, which aligns with the general medical practice classification. The presence of inventory/products categorized under 'Cost of goods sold' indicates that it also functions as a retail pharmacy, but the primary focus remains on healthcare services."
cobra_photo_studio___produce_25601090_0_cobra.xlsm,COBRA PHOTO STUDIO & PRODUCE,Retail / Trade (produce),Cereals/Grains,,Retail trade of agricultural produce,"The business primarily deals with agricultural products such as maize, soya bean, sorghum, and sunflower, which fall under the produce category. The presence of inventory/products with 'Cost of goods sold' strongly indicates a retail/trade classification."
colletta_general_stores___lira_2560745_0_FINANCIALS_COLETTA.xlsm,Coletta General Stores-Lira,Retail / Trade (FMCG),General merchandise,,General merchandise with household textiles focus,"The business sells physical products such as blankets, kitenge, and curtains, which fall under the Cost of goods sold category, indicating a retail/trade classification. The primary focus on general merchandise aligns with the diverse inventory offered."
community_trans_nursery___primary_school_2560780_0_Communtiy_Trans_-_Financials.xlsm,COMMUNITY TRANS NURSERY & PRIMARY SCHOOL,Education,Early childhood education,,Primary School,The business is classified under the Education sector and specifically in Early childhood education due to its focus on nursery and primary schooling. The presence of school fees as the primary revenue stream and the operating costs related to educational services indicate that it operates as a service business rather than a retail/trade business.
cte_solutions___uganda_ltd_2560871_0_Financials_CTE.xlsm,CTE SOLUTIONS - UGANDA LTD,Retail / Trade,stationary,produce,Mixed retail (stationery & milling products),"The presence of inventory/products related to both stationary and milling sales indicates a retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning with the retail/trade sector."
danjeys_enterprises_ltd_2560811_0_Financials-Danjeys_20241.xlsm,DANJEYS ENTERPRISES LTD,Retail / Trade (automobile),Service & repair,,Automotive lubricants and fluids retailer,"The business primarily sells automotive lubricants and fluids, which aligns with the retail/trade classification. The presence of inventory/products categorized under 'Cost of goods sold' strongly indicates a retail/trade business model."
david_s_whole_sale_shop_malaba_2560829_0_Davids_shop-_Financials.xlsm,DAVID'S WHOLESALE SHOP-MALABA,Retail / Trade (FMCG),General merchandise,,Wholesale general merchandise,"The business sells a variety of physical products, including food and household items, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and the nature of the products confirm its classification as a general merchandise retailer."
denis_mpagi_motor_spare_parts_25601014_0_Financials-Denis_spare_parts_Adjusted.xlsm,DENIS MPAGI MOTOR SPARE PARTS,Retail / Trade (automobile),Service & repair,,Retail of automobile spare parts,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business focused on selling physical products, specifically automobile spare parts, which aligns with the selected sector and sub-sector."
deno_catering___general_services_25601054_0_FINANCIALS_Deno.xlsm,Deno Catering Services,Retail / Trade,FMCG,Hotel/Restaurant,Mixed retail (beverages & catering services),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business that sells physical products, specifically beverages. Additionally, the secondary industry of Hotel/Restaurant suggests a catering service aspect, reinforcing the mixed retail classification."
divine_medical_center_hoima_2560832_0_Financials_for_Divine.xlsm,DIVINE MEDICAL CENTRE-HOIMA,Healthcare,Healthcare (clinic),,General medical practice with pharmacy services,"The business operates primarily in the healthcare sector, providing medical services and selling pharmaceutical products. The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail aspect, but the primary focus remains on healthcare services, justifying the classification as a clinic."
divine_medical_services_25601117_0_Divine_medical_services_1_1.xlsm,DIVINE MEDICAL SERVICES,Healthcare,Healthcare (clinic),,Medical center providing healthcare services,"The business primarily operates as a medical center, which aligns with the healthcare clinic sector. The presence of inventory/products indicates a retail aspect, but the primary focus on medical services and the nature of operating costs suggest it is primarily a service business."
divine_mercy_secondary_school_kiko_25601099_0_Divine_Mercy-Financials.xlsm,DINIVE MERCY SECONDARY SCHOOL-KIKO,Education,Secondary education,,Secondary School,The business is classified under the Education sector and specifically as a Secondary education institution due to its nature as a school. The absence of inventory/products and the presence of operating costs related to services further support the classification as a service-oriented business rather than retail.
dot_com_bar_and_depot_2560746_0_dot_com_bar_1.xlsm,DOT COM BAR,Retail / Trade (FMCG),General merchandise,,Bar and beverage retail,"The business primarily sells physical products such as alcoholic beverages and soft drinks, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and the nature of sales further support this classification."
durnson_kato_2560895_0_Financials_Kato_Durnson.xlsm,Durnson Kato,Retail / Trade (produce),Cereals/Grains,,Retailer of maize products,"The business primarily deals with maize, which falls under the produce category. The presence of inventory and the cost of goods sold indicate a retail/trade classification, confirming the selection of the produce sector."
eagle_telecom_company_ltd_2560894_0_NGOBI_PATRICK_FINANCIALS_-_Reviewed_1.xlsm,EAGLE TELECOM CO.LTD,Retail / Trade (electronics),Mobile phones,,Retail of electronic components and accessories,"The business sells physical products such as inverters, batteries, and electrical components, which aligns with the retail/trade classification. The presence of inventory and the Cost of Sales categories indicate a focus on goods sold, confirming the classification in the electronics sector."
eastern_auto_importers_25601051_0_Financials-_EASTERN_AUTO_IMPORTERS_latest.xlsm,EASTERN AUTO IMPORTERS,Retail / Trade (automobile),Service & repair,,Auto spare parts retail and garage services,"The presence of inventory/products categorized under 'Cost of goods sold' indicates that EASTERN AUTO IMPORTERS operates as a retail/trade business selling physical auto spare parts, which aligns with the automobile sector. The classification as 'Service & repair' reflects the garage services offered alongside the sale of spare parts."
edpar_medical_services_co_ltd_2560877_0_Financials-Edpar.xlsm,EDPAR MEDICAL SERVICES CO LTD,Healthcare,Healthcare (clinic),,General medical practice with pharmaceutical services,"The business primarily operates in the healthcare sector, providing medical services and has a significant inventory of pharmaceuticals. The presence of 'Cost of goods sold' categories related to drug purchases indicates a retail aspect, but the primary focus on medical services aligns it more closely with a clinic. Therefore, it is classified under healthcare (clinic) with a specific emphasis on general medical practice and pharmaceutical services."
